Приложение А

Таблица принадлежности функций предполным классам

[0, 0, 0, 0]  0 0 0 1 1 1 1 1 1 1  1 1 1 1 1 1 1 1 1 1  1 1 1 1 1 1 1 1 1 1  1 1 1 1 1 1 1 1 1 1  0 1 0 0 0 1 0 0 0 1  1 1 1 1 1 1 1 1 1 1  1 1 1 1 1 1 1 1 1 1  1 1 1 1 1 1 1 1 1 1  1 1 
[1, 0, 0, 0]  0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0  0 0 1 0 1 1 1 0 1 0  1 1 0 0 1 1 1 0 0 0  0 1 0 0 0 0 0 0 0 0  1 0 1 1 1 1 1 1 0 0  1 0 0 1 0 1 1 1 1 1  1 1 1 1 1 1 1 1 1 1  1 1 
[2, 0, 0, 0]  0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0  0 0 1 1 0 1 0 1 1 0  1 1 0 1 0 0 0 1 1 0  0 1 0 0 0 0 0 0 0 0  1 1 1 0 1 1 0 1 1 0  1 1 1 0 1 0 1 1 0 1  1 1 1 1 1 1 1 1 1 1  1 1 
[3, 0, 0, 0]  0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0  0 0 1 1 0 1 1 0 1 1  0 1 1 0 0 0 1 0 1 1  0 0 0 0 0 0 0 0 0 1  1 0 1 0 1 0 1 1 1 1  1 1 0 1 1 0 0 1 1 1  0 1 1 1 1 1 1 1 1 1  1 1 
[0, 1, 0, 0]  0 0 0 0 0 0 0 0 1 1  0 1 1 1 1 1 1 1 0 0  0 0 0 1 1 1 1 0 0 0  1 0 1 1 1 1 1 1 1 1  0 1 0 0 0 1 1 0 0 0  1 0 1 1 1 1 1 1 0 0  1 0 0 1 0 1 1 1 1 1  1 1 1 1 1 1 1 1 1 1  1 1 
[1, 1, 0, 0]  0 0 0 0 0 0 0 0 0 0  0 0 1 1 1 1 0 0 0 0  0 1 0 0 1 1 1 0 0 0  1 0 0 0 1 1 1 0 0 0  0 1 0 0 0 0 1 0 0 0  1 0 1 1 1 1 1 1 0 0  1 0 0 1 0 1 1 1 1 1  1 1 1 1 1 1 1 1 1 1  1 1 
[2, 1, 0, 0]  0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0  0 0 0 1 0 1 0 0 0 0  1 0 0 1 0 0 0 1 1 0  0 1 0 0 0 0 1 0 0 0  1 0 1 1 0 1 0 0 0 0  1 0 0 0 0 1 1 0 0 0  1 1 1 0 1 1 0 1 0 1  1 1 
[3, 1, 0, 0]  0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0  0 0 0 1 0 1 1 0 0 0  0 0 1 0 0 0 1 0 1 1  0 0 0 0 0 0 1 0 0 0  0 0 0 1 1 0 1 0 0 0  1 0 0 1 0 1 0 0 1 1  0 1 1 1 0 1 1 0 1 0  1 1 
[0, 2, 0, 0]  0 0 0 0 0 0 0 0 1 1  0 1 0 0 0 0 1 0 0 0  0 0 0 1 0 1 0 1 0 0  1 0 1 1 0 0 0 1 1 1  0 1 0 0 0 1 0 0 0 0  1 1 1 0 1 1 0 1 1 0  1 1 1 0 1 0 1 1 0 1  1 1 1 1 1 1 1 1 1 1  1 1 
[1, 2, 0, 0]  0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 1 0 0 0 0  1 0 0 0 0 0 0 0 0 0  0 1 0 0 0 0 0 0 0 0  1 0 1 0 0 1 0 0 0 0  1 0 0 0 0 0 1 0 0 0  1 1 1 0 1 1 0 1 0 1  1 1 
[2, 2, 0, 0]  0 1 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0  0 1 0 1 1 1 0 1 0 0  1 0 0 1 1 0 0 1 1 0  0 1 0 0 0 0 0 0 0 0  1 1 1 0 1 1 0 1 1 0  1 1 1 0 1 0 1 1 0 1  1 1 1 1 1 1 1 1 1 1  1 1 
